mishima_dir,mishima_speed,aziro_dir,aziro_speed,tannna_dir,tanna_speed,judge
225,20,293,10,200,54,SWest
0,0,225,10,200,54,SWest
225,10,203,20,194,52,SWest
248,20,180,20,208,46,SWest
248,30,225,30,208,46,SWest
248,30,203,30,204,42,SWest
248,30,203,30,216,46,SWest
248,30,248,30,208,44,SWest
248,40,248,20,206,46,SWest
270,30,248,20,212,48,SWest
270,40,270,20,206,48,SWest
270,40,270,30,214,50,SWest
270,60,270,40,210,46,SWest
270,50,248,40,208,54,SWest
270,40,248,30,208,54,SWest
270,40,270,30,222,54,SWest
270,50,248,30,214,52,SWest
270,50,270,30,220,52,SWest
270,50,270,30,238,58,SWest
270,50,248,20,220,56,SWest
270,50,248,30,206,56,SWest
270,40,270,20,216,50,West
270,40,248,40,200,60,West
270,40,270,30,198,60,West
270,40,270,30,212,54,West
270,40,270,40,210,56,West
270,40,270,30,214,56,West
270,30,248,20,216,52,West
248,40,270,30,216,50,West
270,40,270,30,162,50,West
293,40,270,40,214,46,West
270,40,270,40,216,42,West
293,40,270,50,206,44,NotWest
293,50,248,40,214,36,West
270,30,248,40,216,36,West
293,40,248,40,210,38,West
293,40,248,60,208,36,NotWest
293,50,248,50,216,38,NotWest
270,40,248,60,218,44,West
293,40,248,70,208,34,West
293,30,248,60,208,30,West
270,40,248,70,212,32,West
270,40,248,80,208,26,West
270,40,248,80,212,34,West
270,40,248,80,220,28,West
270,40,248,90,210,28,West
270,40,248,80,216,34,SWest
270,40,248,90,208,30,West
270,40,248,90,208,30,West
270,40,248,90,212,30,West
293,50,248,80,232,32,SWest
270,40,248,80,202,28,SWest
270,50,248,90,208,30,SWest
248,50,248,80,222,34,SWest
248,40,248,80,228,38,SWest
248,40,248,80,230,36,SWest
248,40,248,70,204,28,West
248,40,248,70,208,26,SWest
248,40,248,80,214,32,SWest
248,40,248,90,206,26,SWest
248,50,248,90,210,30,SWest
248,40,248,80,186,26,SWest
248,20,248,90,190,26,SWest
248,30,248,90,190,34,SWest
248,30,248,80,194,36,SWest
270,40,248,90,204,32,SWest
270,40,248,90,166,30,SWest
270,40,248,90,182,34,SWest
270,30,248,90,178,36,NotWest
248,30,248,90,196,38,SWest
248,30,248,90,196,38,SWest
270,20,248,90,202,38,SWest
270,20,248,90,196,36,SWest
315,10,248,90,192,38,SWest
90,20,248,90,218,34,SWest
113,20,248,90,184,40,SWest
90,10,248,80,184,36,SWest
